SUM of Total Students,,Student Group,,,,,,,,Expected Vaules ,,,,,,,my X^2,,,,,,,,,
Course,Year,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Grand Total,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Result,p-value:,Cohen's w
Math in Motion Total,,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
Math in Society Total,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,
Math Reasong/Appl Total,,,9,0,,,,0,9,,,,,,,,,,,,,,,,,
Math Reasoning/Applications Total,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
Money & Power Financial Literacy,2021,8,41,12,7,,,25,93,9.858,25.389,14.136,8.835,0.279,0.186,34.596,0.350189085,9.598775887,0.3227572156,0.3811233729,0.279,0.186,2.661672332,13.77951789,0.01707229953,0.3849244849
,2022,0,27,13,0,0,,25,65,7.215,16.965,9.88,6.5,,0.195,24.245,7.215,5.935822281,0.9852631579,6.5,0,0.195,0.0235110332,20.85459647,0.00194828363,0.5664273526
,2023,13,40,16,7,,,22,98,11.662,25.382,14.21,10.192,0,0.294,36.26,0.1535108901,8.418797731,0.2254820549,0.9996923077,0,0.294,5.608041919,15.6995249,0.01546090316,0.4002489646
,2024,10,36,22,16,,,30,114,14.82,30.096,16.074,11.514,0,0.456,41.04,1.567638327,1.158200957,2.184737838,1.747802328,0,0.456,2.969824561,10.08420401,0.1211505014,0.2974187787
Money & Power Financial Literacy Total,,31,144,63,30,0,,102,370,41.736,98.272,54.908,35.816,0.518,1.036,137.64,2.76168526,21.27818691,1.1925487,0.9444342193,0.518,1.036,9.228491718,36.95934681,0.0000006102929203,0.316053993
Personal Finance Total,,0,8,0,0,,,0,8,,,,,,,,,,,,,,,,,
Pre-Calc w Quantita Reasoning,2020,10,17,9,6,,,27,69,6.762,18.906,10.488,5.796,0.276,0.138,26.565,1.550524105,0.1921525442,0.2111121281,0.007180124224,0.276,0.138,0.007123094297,2.382091996,0.7941379562,0.1858038547
,2021,8,23,7,0,0,,18,56,5.936,15.288,8.512,5.32,0.168,0.112,20.832,0.717671159,3.890302459,0.2685789474,5.32,0.168,0.112,0.3849953917,10.86154796,0.09275087632,0.4404046021
,2022,9,15,0,0,,,7,31,3.441,8.091,4.712,3.1,,0.093,11.563,8.980668701,5.899676307,4.712,3.1,0,0.093,1.800654588,24.5859996,0.0004072722759,0.8905598021
,2023,0,0,6,0,,,0,6,0.714,1.554,0.87,0.624,,0.018,2.22,0.714,1.554,30.24931034,0.624,0,0.018,2.22,35.37931034,0.000003638266384,2.42828164
,2024,0,10,7,0,,,0,17,2.21,4.488,2.397,1.717,,0.068,6.12,2.21,6.769639929,8.839219441,1.717,0,0.068,6.12,25.72385937,0.0001009398747,1.230109019
